Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
11040,0.001055395,0.385219175,41592,3.15%,42902,3.15%,0.397353579,4.90%,45004,4.90%,0.416823904,4.90%,47210,4.90%,0.437248276,4.90%,49523,4.90%,0.458673441,4.90%,51949,4.90%,0.48114844,4.90%,54495,4.90%,0.504724713,4.90%,57165,4.90%,0.529456224,4.90%,59966,4.90%,0.555399579
11101,0.05679166,20.7289559,31366,3.15%,32354,3.15%,21.38191801,4.90%,33939,4.90%,22.42963199,4.90%,35602,4.90%,23.52868396,4.90%,37347,4.90%,24.68158948,4.90%,39177,4.90%,25.89098736,4.90%,41097,4.90%,27.15964574,4.90%,43110,4.90%,28.49046838,4.90%,45223,4.90%,29.88650133
11102,0.013921102,5.08120223,29747,3.15%,30684,3.15%,5.2412601,4.90%,32188,4.90%,5.498081845,4.90%,33765,4.90%,5.767487856,4.90%,35419,4.90%,6.05009476,4.90%,37155,4.90%,6.346549404,4.90%,38975,4.90%,6.657530325,4.90%,40885,4.90%,6.98374931,4.90%,42888,4.90%,7.325953027
11103,0.004349102,1.58742223,35995,3.15%,37129,3.15%,1.63742603,4.90%,38948,4.90%,1.717659906,4.90%,40857,4.90%,1.801825241,4.90%,42859,4.90%,1.890114678,4.90%,44959,4.90%,1.982730297,4.90%,47162,4.90%,2.079884082,4.90%,49473,4.90%,2.181798402,4.90%,51897,4.90%,2.288706523
11104,0.017265265,6.301821725,25114,3.15%,25905,3.15%,6.500329109,4.90%,27174,4.90%,6.818845236,4.90%,28506,4.90%,7.152968652,4.90%,29903,4.90%,7.503464116,4.90%,31368,4.90%,7.871133858,4.90%,32905,4.90%,8.256819417,4.90%,34517,4.90%,8.661403568,4.90%,36209,4.90%,9.085812343
11105,0.006363233,2.322580045,36983,3.15%,38148,3.15%,2.395741316,4.90%,40017,4.90%,2.513132641,4.90%,41978,4.90%,2.63627614,4.90%,44035,4.90%,2.765453671,4.90%,46193,4.90%,2.900960901,4.90%,48456,4.90%,3.043107985,4.90%,50830,4.90%,3.192220277,4.90%,53321,4.90%,3.34863907
11106,0.014513224,5.29732676,37690,3.15%,38877,3.15%,5.464192553,4.90%,40782,4.90%,5.731937988,4.90%,42781,4.90%,6.012802949,4.90%,44877,4.90%,6.307430294,4.90%,47076,4.90%,6.616494378,4.90%,49382,4.90%,6.940702603,4.90%,51802,4.90%,7.28079703,4.90%,54341,4.90%,7.637556085
11109,0.00138568,0.5057732,5980,3.15%,6168,3.15%,0.521705056,4.90%,6471,4.90%,0.547268604,4.90%,6788,4.90%,0.574084765,4.90%,7120,4.90%,0.602214919,4.90%,7469,4.90%,0.63172345,4.90%,7835,4.90%,0.662677899,4.90%,8219,4.90%,0.695149116,4.90%,8622,4.90%,0.729211422
11135,0.000156886,0.05726339,0,3.15%,0,3.15%,0.059067187,4.90%,0,4.90%,0.061961479,4.90%,0,4.90%,0.064997591,4.90%,0,4.90%,0.068182473,4.90%,0,4.90%,0.071523415,4.90%,0,4.90%,0.075028062,4.90%,0,4.90%,0.078704437,4.90%,0,4.90%,0.082560954
11335,0.001125545,0.410823925,0,3.15%,0,3.15%,0.423764879,4.90%,0,4.90%,0.444529358,4.90%,0,4.90%,0.466311296,4.90%,0,4.90%,0.48916055,4.90%,0,4.90%,0.513129417,4.90%,0,4.90%,0.538272758,4.90%,0,4.90%,0.564648123,4.90%,0,4.90%,0.592315881
