Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
11434,0.004651868,1.69793182,64304,3.15%,66330,3.15%,1.751416672,4.90%,69580,4.90%,1.837236089,4.90%,72989,4.90%,1.927260658,4.90%,76566,4.90%,2.02169643,4.90%,80317,4.90%,2.120759555,4.90%,84253,4.90%,2.224676773,4.90%,88381,4.90%,2.333685935,4.90%,92712,4.90%,2.448036546
11435,0.018404367,6.717593955,59605,3.15%,61483,3.15%,6.929198165,4.90%,64495,4.90%,7.268728875,4.90%,67655,4.90%,7.62489659,4.90%,70971,4.90%,7.998516522,4.90%,74448,4.90%,8.390443832,4.90%,78096,4.90%,8.80157558,4.90%,81923,4.90%,9.232852783,4.90%,85937,4.90%,9.68526257
11436,0.001075655,0.392614075,19167,3.15%,19771,3.15%,0.404981418,4.90%,20740,4.90%,0.424825508,4.90%,21756,4.90%,0.445641958,4.90%,22822,4.90%,0.467478414,4.90%,23940,4.90%,0.490384856,4.90%,25113,4.90%,0.514413714,4.90%,26344,4.90%,0.539619986,4.90%,27635,4.90%,0.566061365
11439,0.002013927,0.735083355,0,3.15%,0,3.15%,0.758238481,4.90%,0,4.90%,0.795392166,4.90%,0,4.90%,0.834366382,4.90%,0,4.90%,0.875250335,4.90%,0,4.90%,0.918137602,4.90%,0,4.90%,0.963126344,4.90%,0,4.90%,1.010319535,4.90%,0,4.90%,1.059825192
11474,0.003204388,1.16960162,0,3.15%,0,3.15%,1.206444071,4.90%,0,4.90%,1.265559831,4.90%,0,4.90%,1.327572262,4.90%,0,4.90%,1.392623303,4.90%,0,4.90%,1.460861845,4.90%,0,4.90%,1.532444075,4.90%,0,4.90%,1.607533835,4.90%,0,4.90%,1.686302993
11691,0.028348837,10.34732551,68543,3.15%,70702,3.15%,10.67326626,4.90%,74167,4.90%,11.19625631,4.90%,77801,4.90%,11.74487286,4.90%,81613,4.90%,12.32037163,4.90%,85612,4.90%,12.92406984,4.90%,89807,4.90%,13.55734927,4.90%,94207,4.90%,14.22165938,4.90%,98824,4.90%,14.91852069
11692,0.011606529,4.236383085,22074,3.15%,22769,3.15%,4.369829152,4.90%,23885,4.90%,4.583950781,4.90%,25055,4.90%,4.808564369,4.90%,26283,4.90%,5.044184023,4.90%,27571,4.90%,5.29134904,4.90%,28922,4.90%,5.550625143,4.90%,30339,4.90%,5.822605775,4.90%,31826,4.90%,6.107913458
11693,0.003286483,1.199566295,12944,3.15%,13352,3.15%,1.237352633,4.90%,14006,4.90%,1.297982912,4.90%,14692,4.90%,1.361584075,4.90%,15412,4.90%,1.428301695,4.90%,16167,4.90%,1.498288478,4.90%,16960,4.90%,1.571704613,4.90%,17791,4.90%,1.648718139,4.90%,18662,4.90%,1.729505328
11694,0.005042604,1.84055046,21202,3.15%,21870,3.15%,1.898527799,4.90%,22941,4.90%,1.991555662,4.90%,24066,4.90%,2.089141889,4.90%,25245,4.90%,2.191509842,4.90%,26482,4.90%,2.298893824,4.90%,27779,4.90%,2.411539621,4.90%,29141,4.90%,2.529705063,4.90%,30569,4.90%,2.653660611
11001,5.62E-05,0.020515008,28021,3.15%,28904,3.15%,0.02116123,4.90%,30320,4.90%,0.022198131,4.90%,31806,4.90%,0.023285839,4.90%,33364,4.90%,0.024426845,4.90%,34999,4.90%,0.02562376,4.90%,36714,4.90%,0.026879325,4.90%,38513,4.90%,0.028196412,4.90%,40400,4.90%,0.029578036
11100,5.31E-06,0.001937712,0,3.15%,0,3.15%,0.00199875,4.90%,0,4.90%,0.002096689,4.90%,0,4.90%,0.002199426,4.90%,0,4.90%,0.002307198,4.90%,0,4.90%,0.002420251,4.90%,0,4.90%,0.002538843,4.90%,0,4.90%,0.002663247,4.90%,0,4.90%,0.002793746
11110,1.58E-05,0.00576273,0,3.15%,0,3.15%,0.005944255,4.90%,0,4.90%,0.006235524,4.90%,0,4.90%,0.006541065,4.90%,0,4.90%,0.006861577,4.90%,0,4.90%,0.007197794,4.90%,0,4.90%,0.007550486,4.90%,0,4.90%,0.00792046,4.90%,0,4.90%,0.008308562
11359,0,0,0,3.15%,0,3.15%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0,4.90%,0
11411,0.000225989,0.082485985,20719,3.15%,21372,3.15%,0.085084294,4.90%,22419,4.90%,0.089253424,4.90%,23517,4.90%,0.093626842,4.90%,24670,4.90%,0.098214557,4.90%,25879,4.90%,0.10302707,4.90%,27147,4.90%,0.108075397,4.90%,28477,4.90%,0.113371091,4.90%,29872,4.90%,0.118926275
10432,4.66E-09,1.70244E-06,0,3.15%,0,3.15%,1.75606E-06,4.90%,0,4.90%,1.84211E-06,4.90%,0,4.90%,1.93237E-06,4.90%,0,4.90%,2.02706E-06,4.90%,0,4.90%,2.12639E-06,4.90%,0,4.90%,2.23058E-06,4.90%,0,4.90%,2.33988E-06,4.90%,0,4.90%,2.45453E-06
10451,9.24E-07,0.000337164,48136,3.15%,49652,3.15%,0.000347785,4.90%,52085,4.90%,0.000364827,4.90%,54637,4.90%,0.000382703,4.90%,57315,4.90%,0.000401455,4.90%,60123,4.90%,0.000421127,4.90%,63069,4.90%,0.000441762,4.90%,66159,4.90%,0.000463408,4.90%,69401,4.90%,0.000486115
10452,1.71E-06,0.000623946,75452,3.15%,77829,3.15%,0.0006436,4.90%,81642,4.90%,0.000675136,4.90%,85643,4.90%,0.000708218,4.90%,89839,4.90%,0.000742921,4.90%,94241,4.90%,0.000779324,4.90%,98859,4.90%,0.000817511,4.90%,103703,4.90%,0.000857569,4.90%,108785,4.90%,0.000899589
10453,1.11E-06,0.000403376,81716,3.15%,84290,3.15%,0.000416082,4.90%,88420,4.90%,0.00043647,4.90%,92753,4.90%,0.000457858,4.90%,97298,4.90%,0.000480293,4.90%,102065,4.90%,0.000503827,4.90%,107067,4.90%,0.000528514,4.90%,112313,4.90%,0.000554412,4.90%,117816,4.90%,0.000581578
10454,4.05E-07,0.000147994,37212,3.15%,38384,3.15%,0.000152655,4.90%,40265,4.90%,0.000160136,4.90%,42238,4.90%,0.000167982,4.90%,44308,4.90%,0.000176213,4.90%,46479,4.90%,0.000184848,4.90%,48756,4.90%,0.000193905,4.90%,51145,4.90%,0.000203407,4.90%,53651,4.90%,0.000213374
10455,3.92E-07,0.000142953,41951,3.15%,43272,3.15%,0.000147456,4.90%,45393,4.90%,0.000154682,4.90%,47617,4.90%,0.000162261,4.90%,49950,4.90%,0.000170212,4.90%,52398,4.90%,0.000178552,4.90%,54965,4.90%,0.000187301,4.90%,57659,4.90%,0.000196479,4.90%,60484,4.90%,0.000206107
10456,9.45E-07,0.000344971,92717,3.15%,95638,3.15%,0.000355837,4.90%,100324,4.90%,0.000373273,4.90%,105240,4.90%,0.000391564,4.90%,110396,4.90%,0.00041075,4.90%,115806,4.90%,0.000430877,4.90%,121480,4.90%,0.00045199,4.90%,127433,4.90%,0.000474137,4.90%,133677,4.90%,0.00049737
10457,4.74E-06,0.001731848,74822,3.15%,77179,3.15%,0.001786402,4.90%,80961,4.90%,0.001873935,4.90%,84928,4.90%,0.001965758,4.90%,89089,4.90%,0.00206208,4.90%,93455,4.90%,0.002163122,4.90%,98034,4.90%,0.002269115,4.90%,102837,4.90%,0.002380302,4.90%,107877,4.90%,0.002496937
10458,1.31E-06,0.000477216,85620,3.15%,88317,3.15%,0.000492248,4.90%,92645,4.90%,0.000516368,4.90%,97184,4.90%,0.00054167,4.90%,101946,4.90%,0.000568212,4.90%,106942,4.90%,0.000596054,4.90%,112182,4.90%,0.000625261,4.90%,117679,4.90%,0.000655899,4.90%,123445,4.90%,0.000688038
10459,4.84E-07,0.000176651,48780,3.15%,50317,3.15%,0.000182215,4.90%,52782,4.90%,0.000191144,4.90%,55368,4.90%,0.00020051,4.90%,58081,4.90%,0.000210335,4.90%,60927,4.90%,0.000220641,4.90%,63913,4.90%,0.000231452,4.90%,67045,4.90%,0.000242794,4.90%,70330,4.90%,0.00025469
10460,7.04E-07,0.000256842,59432,3.15%,61304,3.15%,0.000264932,4.90%,64308,4.90%,0.000277914,4.90%,67459,4.90%,0.000291532,4.90%,70765,4.90%,0.000305817,4.90%,74232,4.90%,0.000320802,4.90%,77869,4.90%,0.000336521,4.90%,81685,4.90%,0.000353011,4.90%,85688,4.90%,0.000370308
10461,5.72E-07,0.000208807,49690,3.15%,51255,3.15%,0.000215384,4.90%,53767,4.90%,0.000225938,4.90%,56401,4.90%,0.000237009,4.90%,59165,4.90%,0.000248622,4.90%,62064,4.90%,0.000260805,4.90%,65105,4.90%,0.000273584,4.90%,68295,4.90%,0.00028699,4.90%,71642,4.90%,0.000301052
10462,5.07E-07,0.000185111,75714,3.15%,78099,3.15%,0.000190942,4.90%,81926,4.90%,0.000200298,4.90%,85940,4.90%,0.000210113,4.90%,90151,4.90%,0.000220408,4.90%,94569,4.90%,0.000231208,4.90%,99203,4.90%,0.000242537,4.90%,104063,4.90%,0.000254422,4.90%,109163,4.90%,0.000266888
10463,1.19E-06,0.000435,71132,3.15%,73373,3.15%,0.000448702,4.90%,76968,4.90%,0.000470689,4.90%,80739,4.90%,0.000493752,4.90%,84696,4.90%,0.000517946,4.90%,88846,4.90%,0.000543326,4.90%,93199,4.90%,0.000569949,4.90%,97766,4.90%,0.000597876,4.90%,102556,4.90%,0.000627172
10464,1.32E-08,4.82121E-06,4531,3.15%,4674,3.15%,4.97308E-06,4.90%,4903,4.90%,5.21676E-06,4.90%,5143,4.90%,5.47238E-06,4.90%,5395,4.90%,5.74053E-06,4.90%,5659,4.90%,6.02182E-06,4.90%,5937,4.90%,6.31688E-06,4.90%,6228,4.90%,6.62641E-06,4.90%,6533,4.90%,6.95111E-06
10465,5.04E-08,1.83944E-05,43671,3.15%,45047,3.15%,1.89738E-05,4.90%,47254,4.90%,1.99035E-05,4.90%,49569,4.90%,2.08788E-05,4.90%,51998,4.90%,2.19019E-05,4.90%,54546,4.90%,2.29751E-05,4.90%,57219,4.90%,2.41008E-05,4.90%,60023,4.90%,2.52818E-05,4.90%,62964,4.90%,2.65206E-05
10466,1.91E-07,6.96219E-05,75039,3.15%,77403,3.15%,7.1815E-05,4.90%,81195,4.90%,7.5334E-05,4.90%,85174,4.90%,7.90253E-05,4.90%,89348,4.90%,8.28976E-05,4.90%,93726,4.90%,8.69595E-05,4.90%,98318,4.90%,9.12206E-05,4.90%,103136,4.90%,9.56904E-05,4.90%,108189,4.90%,0.000100379
10467,1.37E-06,0.000498634,101255,3.15%,104445,3.15%,0.000514341,4.90%,109562,4.90%,0.000539543,4.90%,114931,4.90%,0.000565981,4.90%,120562,4.90%,0.000593714,4.90%,126470,4.90%,0.000622806,4.90%,132667,4.90%,0.000653324,4.90%,139168,4.90%,0.000685337,4.90%,145987,4.90%,0.000718918
10468,1.19E-06,0.000432952,78881,3.15%,81366,3.15%,0.00044659,4.90%,85353,4.90%,0.000468473,4.90%,89535,4.90%,0.000491428,4.90%,93922,4.90%,0.000515508,4.90%,98524,4.90%,0.000540768,4.90%,103352,4.90%,0.000567266,4.90%,108416,4.90%,0.000595062,4.90%,113729,4.90%,0.00062422
10469,1.61E-07,5.87577E-05,72384,3.15%,74664,3.15%,6.06086E-05,4.90%,78323,4.90%,6.35784E-05,4.90%,82160,4.90%,6.66937E-05,4.90%,86186,4.90%,6.99617E-05,4.90%,90409,4.90%,7.33898E-05,4.90%,94839,4.90%,7.69859E-05,4.90%,99487,4.90%,8.07583E-05,4.90%,104361,4.90%,8.47154E-05
10470,6.21E-08,2.26564E-05,15716,3.15%,16211,3.15%,2.33701E-05,4.90%,17005,4.90%,2.45152E-05,4.90%,17839,4.90%,2.57164E-05,4.90%,18713,4.90%,2.69765E-05,4.90%,19630,4.90%,2.82984E-05,4.90%,20592,4.90%,2.9685E-05,4.90%,21601,4.90%,3.11396E-05,4.90%,22659,4.90%,3.26654E-05
10471,2.90E-07,0.00010582,22422,3.15%,23128,3.15%,0.000109154,4.90%,24262,4.90%,0.000114502,4.90%,25450,4.90%,0.000120113,4.90%,26697,4.90%,0.000125998,4.90%,28006,4.90%,0.000132172,4.90%,29378,4.90%,0.000138649,4.90%,30817,4.90%,0.000145443,4.90%,32327,4.90%,0.000152569
10472,9.56E-07,0.000348864,67948,3.15%,70088,3.15%,0.000359853,4.90%,73523,4.90%,0.000377486,4.90%,77125,4.90%,0.000395983,4.90%,80904,4.90%,0.000415386,4.90%,84869,4.90%,0.00043574,4.90%,89027,4.90%,0.000457091,4.90%,93390,4.90%,0.000479489,4.90%,97966,4.90%,0.000502984
10473,3.04E-07,0.000110825,59579,3.15%,61456,3.15%,0.000114316,4.90%,64467,4.90%,0.000119918,4.90%,67626,4.90%,0.000125794,4.90%,70940,4.90%,0.000131958,4.90%,74416,4.90%,0.000138424,4.90%,78062,4.90%,0.000145206,4.90%,81887,4.90%,0.000152321,4.90%,85900,4.90%,0.000159785
10474,3.56E-07,0.000130106,12179,3.15%,12563,3.15%,0.000134204,4.90%,13178,4.90%,0.00014078,4.90%,13824,4.90%,0.000147678,4.90%,14501,4.90%,0.000154914,4.90%,15212,4.90%,0.000162505,4.90%,15957,4.90%,0.000170468,4.90%,16739,4.90%,0.000178821,4.90%,17559,4.90%,0.000187583
10475,6.66E-08,2.43182E-05,42818,3.15%,44167,3.15%,2.50842E-05,4.90%,46331,4.90%,2.63133E-05,4.90%,48601,4.90%,2.76027E-05,4.90%,50983,4.90%,2.89552E-05,4.90%,53481,4.90%,3.0374E-05,4.90%,56101,4.90%,3.18623E-05,4.90%,58850,4.90%,3.34236E-05,4.90%,61734,4.90%,3.50613E-05
10486,1.74E-09,6.34078E-07,0,3.15%,0,3.15%,6.54051E-07,4.90%,0,4.90%,6.861E-07,4.90%,0,4.90%,7.19719E-07,4.90%,0,4.90%,7.54985E-07,4.90%,0,4.90%,7.91979E-07,4.90%,0,4.90%,8.30786E-07,4.90%,0,4.90%,8.71495E-07,4.90%,0,4.90%,9.14198E-07
10401,5.14E-11,1.8761E-08,0,3.15%,0,3.15%,1.9352E-08,4.90%,0,4.90%,2.03002E-08,4.90%,0,4.90%,2.12949E-08,4.90%,0,4.90%,2.23384E-08,4.90%,0,4.90%,2.3433E-08,4.90%,0,4.90%,2.45812E-08,4.90%,0,4.90%,2.57857E-08,4.90%,0,4.90%,2.70492E-08
11201,0.002717895,0.992031675,63378,3.15%,65374,3.15%,1.023280673,4.90%,68578,4.90%,1.073421426,4.90%,71938,4.90%,1.126019076,4.90%,75463,4.90%,1.18119401,4.90%,79161,4.90%,1.239072517,4.90%,83040,4.90%,1.29978707,4.90%,87109,4.90%,1.363476637,4.90%,91377,4.90%,1.430286992
11202,9.60E-06,0.003504285,0,3.15%,0,3.15%,0.00361467,4.90%,0,4.90%,0.003791788,4.90%,0,4.90%,0.003977586,4.90%,0,4.90%,0.004172488,4.90%,0,4.90%,0.00437694,4.90%,0,4.90%,0.00459141,4.90%,0,4.90%,0.004816389,4.90%,0,4.90%,0.005052392
11203,0.001102386,0.40237089,76085,3.15%,78482,3.15%,0.415045573,4.90%,82327,4.90%,0.435382806,4.90%,86361,4.90%,0.456716564,4.90%,90593,4.90%,0.479095675,4.90%,95032,4.90%,0.502571363,4.90%,99689,4.90%,0.52719736,4.90%,104573,4.90%,0.553030031,4.90%,109697,4.90%,0.580128502
11204,0.000881908,0.32189642,76395,3.15%,78801,3.15%,0.332036157,4.90%,82663,4.90%,0.348305929,4.90%,86713,4.90%,0.365372919,4.90%,90962,4.90%,0.383276193,4.90%,95419,4.90%,0.402056726,4.90%,100095,4.90%,0.421757506,4.90%,104999,4.90%,0.442423623,4.90%,110144,4.90%,0.464102381
11205,0.001044902,0.38138923,46843,3.15%,48319,3.15%,0.393402991,4.90%,50686,4.90%,0.412679737,4.90%,53170,4.90%,0.432901044,4.90%,55775,4.90%,0.454113196,4.90%,58508,4.90%,0.476364742,4.90%,61375,4.90%,0.499706615,4.90%,64382,4.90%,0.524192239,4.90%,67537,4.90%,0.549877658
11206,0.001633719,0.596307435,88422,3.15%,91207,3.15%,0.615091119,4.90%,95676,4.90%,0.645230584,4.90%,100365,4.90%,0.676846883,4.90%,105282,4.90%,0.71001238,4.90%,110441,4.90%,0.744802987,4.90%,115853,4.90%,0.781298333,4.90%,121530,4.90%,0.819581951,4.90%,127485,4.90%,0.859741467
11207,0.001406247,0.513280155,91083,3.15%,93952,3.15%,0.52944848,4.90%,98556,4.90%,0.555391455,4.90%,103385,4.90%,0.582605637,4.90%,108451,4.90%,0.611153313,4.90%,113765,4.90%,0.641099825,4.90%,119339,4.90%,0.672513717,4.90%,125187,4.90%,0.705466889,4.90%,131321,4.90%,0.740034766
11208,0.000447764,0.16343386,101313,3.15%,104504,3.15%,0.168582027,4.90%,109625,4.90%,0.176842546,4.90%,114997,4.90%,0.185507831,4.90%,120632,4.90%,0.194597714,4.90%,126542,4.90%,0.204133002,4.90%,132743,4.90%,0.214135519,4.90%,139247,4.90%,0.22462816,4.90%,146071,4.90%,0.23563494
11209,0.001678024,0.61247876,67782,3.15%,69917,3.15%,0.631771841,4.90%,73343,4.90%,0.662728661,4.90%,76937,4.90%,0.695202366,4.90%,80707,4.90%,0.729267281,4.90%,84661,4.90%,0.765001378,4.90%,88810,4.90%,0.802486446,4.90%,93162,4.90%,0.841808282,4.90%,97726,4.90%,0.883056887
11210,0.003816499,1.393022135,64665,3.15%,66702,3.15%,1.436902332,4.90%,69970,4.90%,1.507310547,4.90%,73399,4.90%,1.581168763,4.90%,76995,4.90%,1.658646033,4.90%,80768,4.90%,1.739919688,4.90%,84726,4.90%,1.825175753,4.90%,88877,4.90%,1.914609365,4.90%,93232,4.90%,2.008425224
11211,0.001015729,0.370741085,103123,3.15%,106371,3.15%,0.382419429,4.90%,111584,4.90%,0.401157981,4.90%,117051,4.90%,0.420814722,4.90%,122787,4.90%,0.441434644,4.90%,128803,4.90%,0.463064941,4.90%,135115,4.90%,0.485755123,4.90%,141735,4.90%,0.509557124,4.90%,148680,4.90%,0.534525423
11212,0.001614968,0.58946332,75605,3.15%,77987,3.15%,0.608031415,4.90%,81808,4.90%,0.637824954,4.90%,85816,4.90%,0.669078377,4.90%,90021,4.90%,0.701863217,4.90%,94433,4.90%,0.736254515,4.90%,99060,4.90%,0.772330986,4.90%,103914,4.90%,0.810175204,4.90%,109005,4.90%,0.849873789
11213,0.001526056,0.55701044,67056,3.15%,69168,3.15%,0.574556269,4.90%,72558,4.90%,0.602709526,4.90%,76113,4.90%,0.632242293,4.90%,79842,4.90%,0.663222165,4.90%,83755,4.90%,0.695720051,4.90%,87859,4.90%,0.729810334,4.90%,92164,4.90%,0.76557104,4.90%,96680,4.90%,0.803084021
11214,0.001952265,0.712576725,92644,3.15%,95562,3.15%,0.735022892,4.90%,100245,4.90%,0.771039014,4.90%,105157,4.90%,0.808819925,4.90%,110310,4.90%,0.848452102,4.90%,115715,4.90%,0.890026255,4.90%,121385,4.90%,0.933637541,4.90%,127333,4.90%,0.97938578,4.90%,133572,4.90%,1.027375684
11215,0.00048775,0.17802875,69873,3.15%,72074,3.15%,0.183636656,4.90%,75606,4.90%,0.192634852,4.90%,79310,4.90%,0.202073959,4.90%,83197,4.90%,0.211975584,4.90%,87273,4.90%,0.222362387,4.90%,91550,4.90%,0.233258144,4.90%,96035,4.90%,0.244687793,4.90%,100741,4.90%,0.256677495
11216,0.001084342,0.39578483,57786,3.15%,59606,3.15%,0.408252052,4.90%,62527,4.90%,0.428256403,4.90%,65591,4.90%,0.449240966,4.90%,68805,4.90%,0.471253774,4.90%,72176,4.90%,0.494345209,4.90%,75713,4.90%,0.518568124,4.90%,79423,4.90%,0.543977962,4.90%,83314,4.90%,0.570632882
11217,0.000607281,0.221657565,41813,3.15%,43130,3.15%,0.228639778,4.90%,45243,4.90%,0.239843127,4.90%,47460,4.90%,0.251595441,4.90%,49786,4.90%,0.263923617,4.90%,52225,4.90%,0.276855875,4.90%,54785,4.90%,0.290421812,4.90%,57469,4.90%,0.304652481,4.90%,60285,4.90%,0.319580453
11218,0.001391273,0.507814645,72413,3.15%,74694,3.15%,0.523810806,4.90%,78354,4.90%,0.549477536,4.90%,82193,4.90%,0.576401935,4.90%,86221,4.90%,0.60464563,4.90%,90446,4.90%,0.634273266,4.90%,94877,4.90%,0.665352656,4.90%,99526,4.90%,0.697954936,4.90%,104403,4.90%,0.732154728
11219,0.001481968,0.54091832,89371,3.15%,92186,3.15%,0.557957247,4.90%,96703,4.90%,0.585297152,4.90%,101442,4.90%,0.613976713,4.90%,106412,4.90%,0.644061572,4.90%,111627,4.90%,0.675620589,4.90%,117096,4.90%,0.708725997,4.90%,122834,4.90%,0.743453571,4.90%,128853,4.90%,0.779882796
11220,0.000596262,0.21763563,93170,3.15%,96105,3.15%,0.224491152,4.90%,100814,4.90%,0.235491219,4.90%,105754,4.90%,0.247030289,4.90%,110936,4.90%,0.259134773,4.90%,116372,4.90%,0.271832377,4.90%,122074,4.90%,0.285152163,4.90%,128056,4.90%,0.299124619,4.90%,134330,4.90%,0.313781725
11221,0.000758233,0.276755045,83322,3.15%,85947,3.15%,0.285472829,4.90%,90158,4.90%,0.299460998,4.90%,94576,4.90%,0.314134586,4.90%,99210,4.90%,0.329527181,4.90%,104071,4.90%,0.345674013,4.90%,109171,4.90%,0.36261204,4.90%,114520,4.90%,0.38038003,4.90%,120132,4.90%,0.399018651
11222,0.000241401,0.088111365,36872,3.15%,38033,3.15%,0.090886873,4.90%,39897,4.90%,0.09534033,4.90%,41852,4.90%,0.100012006,4.90%,43903,4.90%,0.104912594,4.90%,46054,4.90%,0.110053311,4.90%,48311,4.90%,0.115445924,4.90%,50678,4.90%,0.121102774,4.90%,53161,4.90%,0.12703681
11223,0.000884465,0.322829725,81388,3.15%,83952,3.15%,0.332998861,4.90%,88065,4.90%,0.349315806,4.90%,92381,4.90%,0.36643228,4.90%,96907,4.90%,0.384387462,4.90%,101656,4.90%,0.403222447,4.90%,106637,4.90%,0.422980347,4.90%,111862,4.90%,0.443706384,4.90%,117343,4.90%,0.465447997
11224,0.001875845,0.684683425,45795,3.15%,47238,3.15%,0.706250953,4.90%,49552,4.90%,0.74085725,4.90%,51980,4.90%,0.777159255,4.90%,54527,4.90%,0.815240058,4.90%,57199,4.90%,0.855186821,4.90%,60002,4.90%,0.897090975,4.90%,62942,4.90%,0.941048433,4.90%,66026,4.90%,0.987159806
11225,0.002397014,0.87491011,56859,3.15%,58650,3.15%,0.902469778,4.90%,61524,4.90%,0.946690798,4.90%,64539,4.90%,0.993078647,4.90%,67701,4.90%,1.0417395,4.90%,71018,4.90%,1.092784736,4.90%,74498,4.90%,1.146331188,4.90%,78149,4.90%,1.202501416,4.90%,81978,4.90%,1.261423986
11226,0.003789946,1.38333029,99558,3.15%,102694,3.15%,1.426905194,4.90%,107726,4.90%,1.496823549,4.90%,113005,4.90%,1.570167903,4.90%,118542,4.90%,1.64710613,4.90%,124350,4.90%,1.72781433,4.90%,130444,4.90%,1.812477232,4.90%,136835,4.90%,1.901288617,4.90%,143540,4.90%,1.994451759
11228,7.10E-05,0.025903977,44348,3.15%,45745,3.15%,0.026719952,4.90%,47986,4.90%,0.02802923,4.90%,50338,4.90%,0.029402662,4.90%,52804,4.90%,0.030843393,4.90%,55392,4.90%,0.032354719,4.90%,58106,4.90%,0.0339401,4.90%,60953,4.90%,0.035603165,4.90%,63940,4.90%,0.03734772
11229,0.001900584,0.69371316,83119,3.15%,85737,3.15%,0.715565125,4.90%,89938,4.90%,0.750627816,4.90%,94345,4.90%,0.787408579,4.90%,98968,4.90%,0.825991599,4.90%,103818,4.90%,0.866465187,4.90%,108905,4.90%,0.908921981,4.90%,114241,4.90%,0.953459159,4.90%,119839,4.90%,1.000178657
11230,0.00285552,1.0422648,86139,3.15%,88852,3.15%,1.075096141,4.90%,93206,4.90%,1.127775852,4.90%,97773,4.90%,1.183036869,4.90%,102564,4.90%,1.241005675,4.90%,107590,4.90%,1.301814954,4.90%,112862,4.90%,1.365603886,4.90%,118392,4.90%,1.432518477,4.90%,124193,4.90%,1.502711882
11231,0.00110548,0.4035002,37874,3.15%,39067,3.15%,0.416210456,4.90%,40981,4.90%,0.436604769,4.90%,42989,4.90%,0.457998402,4.90%,45096,4.90%,0.480440324,4.90%,47306,4.90%,0.5039819,4.90%,49624,4.90%,0.528677013,4.90%,52055,4.90%,0.554582187,4.90%,54606,4.90%,0.581756714
11232,0.000689637,0.251717505,26430,3.15%,27263,3.15%,0.259646606,4.90%,28598,4.90%,0.27236929,4.90%,30000,4.90%,0.285715385,4.90%,31470,4.90%,0.299715439,4.90%,33012,4.90%,0.314401496,4.90%,34629,4.90%,0.329807169,4.90%,36326,4.90%,0.34596772,4.90%,38106,4.90%,0.362920139
11233,0.000758721,0.276933165,79439,3.15%,81941,3.15%,0.28565656,4.90%,85956,4.90%,0.299653731,4.90%,90168,4.90%,0.314336764,4.90%,94587,4.90%,0.329739265,4.90%,99221,4.90%,0.345896489,4.90%,104083,4.90%,0.362845417,4.90%,109183,4.90%,0.380624843,4.90%,114533,4.90%,0.39927546
11234,0.000520046,0.18981679,93534,3.15%,96480,3.15%,0.195796019,4.90%,101208,4.90%,0.205390024,4.90%,106167,4.90%,0.215454135,4.90%,111369,4.90%,0.226011388,4.90%,116826,4.90%,0.237085946,4.90%,122551,4.90%,0.248703157,4.90%,128556,4.90%,0.260889612,4.90%,134855,4.90%,0.273673203
11235,0.003029195,1.105656175,78775,3.15%,81256,3.15%,1.140484345,4.90%,85238,4.90%,1.196368077,4.90%,89415,4.90%,1.254990113,4.90%,93796,4.90%,1.316484629,4.90%,98392,4.90%,1.380992376,4.90%,103213,4.90%,1.448661002,4.90%,108271,4.90%,1.519645391,4.90%,113576,4.90%,1.594108015
11236,0.000239456,0.08740144,100844,3.15%,104021,3.15%,0.090154585,4.90%,109118,4.90%,0.09457216,4.90%,114464,4.90%,0.099206196,4.90%,120073,4.90%,0.104067299,4.90%,125957,4.90%,0.109166597,4.90%,132129,4.90%,0.11451576,4.90%,138603,4.90%,0.120127033,4.90%,145394,4.90%,0.126013257
11237,0.00035065,0.12798725,48876,3.15%,50416,3.15%,0.132018848,4.90%,52886,4.90%,0.138487772,4.90%,55477,4.90%,0.145273673,4.90%,58196,4.90%,0.152392083,4.90%,61047,4.90%,0.159859295,4.90%,64039,4.90%,0.1676924,4.90%,67177,4.90%,0.175909328,4.90%,70468,4.90%,0.184528885
11238,0.00126606,0.4621119,55210,3.15%,56949,3.15%,0.476668425,4.90%,59740,4.90%,0.500025178,4.90%,62667,4.90%,0.524526411,4.90%,65738,4.90%,0.550228206,4.90%,68959,4.90%,0.577189388,4.90%,72338,4.90%,0.605471668,4.90%,75882,4.90%,0.635139779,4.90%,79600,4.90%,0.666261628
